NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	8.010382552473787E-5	3.141341	100000000	3471	78533525
1	3.133009943049324E-5	3.14169108	100000000	3462	78542277
1	8.795106198481901E-5	3.14186896	100000000	5675	78546724
1	3.8574832439968994E-5	3.14171384	100000000	5597	78542846
1	7.288863817054351E-5	3.14182164	100000000	6018	78545541
1	6.912850064910202E-5	3.14137548	100000000	5997	78534387
1	3.8740353580768124E-5	3.14171436	100000000	5857	78542859
1	1.4595650948173689E-5	3.1415468	100000000	5132	78538670
1	5.954435303919746E-6	3.14161136	100000000	3497	78540284
1	3.804007183117899E-5	3.14171216	100000000	3506	78542804
2-------------------
2	4.247094544692822E-5	3.14172608	100000000	1806	78543152
2	5.054328416054097E-5	3.14175144	100000000	2501	78543786
2	5.156187579621703E-5	3.14175464	100000000	2592	78543866
2	8.523906175447633E-5	3.14186044	100000000	2745	78546511
2	2.041435566758987E-5	3.14152852	100000000	2585	78538213
2	2.4361398256311694E-5	3.14151612	100000000	2676	78537903
2	1.375939371306681E-5	3.14163588	100000000	2791	78540897
2	1.7337196833797752E-5	3.14164712	100000000	2985	78541178
2	4.982618915104042E-5	3.14143612	100000000	2909	78535903
2	4.237773781423155E-5	3.14145952	100000000	2926	78536488
3-------------------
3	1.501581999792717E-5	3.14154548	100000000	2120	78538637
3	4.555218514512042E-5	3.14173576	100000000	2133	78543394
3	5.75071697672799E-6	3.14161072	100000000	1908	78540268
3	4.399475203611291E-5	3.14145444	100000000	1972	78536361
3	4.162652648287981E-5	3.14146188	100000000	1993	78536547
3	3.159747973481757E-5	3.14169192	100000000	1939	78542298
3	8.508627300918853E-5	3.14185996	100000000	1972	78546499
3	5.642156999268963E-5	3.1414154	100000000	1960	78535385
3	7.376382729579233E-6	3.14156948	100000000	1923	78539237
3	6.546565162475728E-5	3.14179832	100000000	1977	78544958
4-------------------
4	4.908771021505865E-5	3.14143844	100000000	1437	78535961
4	3.380018414725153E-5	3.14169884	100000000	1472	78542471
4	8.516266738183242E-5	3.1418602	100000000	1496	78546505
4	3.8408576596410055E-6	3.14160472	100000000	1524	78540118
4	1.5181341138726297E-5	3.14154496	100000000	1452	78538624
4	5.025909059616387E-5	3.14143476	100000000	1545	78535869
4	3.929984427796233E-6	3.141605	100000000	1526	78540125
4	1.9939256163613446E-7	3.14159328	100000000	1450	78539832
4	1.1363230360210946E-4	3.14194964	100000000	1422	78548741
4	7.049421312381065E-6	3.1416148	100000000	1472	78540370
5-------------------
5	8.602773556847137E-6	3.14161968	100000000	1246	78540492
5	8.88295972707186E-5	3.14187172	100000000	1148	78546793
5	3.229702678065738E-6	3.1416028	100000000	1215	78540070
5	6.400069144554527E-6	3.14161276	100000000	1190	78540319
5	2.142021490789596E-5	3.14152536	100000000	1220	78538134
5	8.000270106383113E-6	3.14156752	100000000	1174	78539188
5	3.987353677562207E-5	3.14171792	100000000	1225	78542948
5	9.630016723634443E-6	3.1415624	100000000	1238	78539060
5	4.107903347871983E-5	3.1414636	100000000	1140	78536590
5	1.4277341061945405E-5	3.1415478	100000000	1250	78538695
6-------------------
6	3.3375934232956605E-5	3.1414878	100000000	948	78537195
6	1.1951393559505024E-5	3.1416302	100000000	950	78540755
6	1.2147137833324906E-4	3.14121104	100000000	923	78530276
6	2.6908612048756417E-6	3.1415842	100000000	937	78539605
6	3.8086920548541495E-5	3.141473	100000000	934	78536825
6	4.592068990992742E-6	3.14160708	100000000	948	78540177
6	6.918016493433122E-6	3.14157092	100000000	989	78539273
6	5.322981959986099E-5	3.14175988	100000000	942	78543997
6	5.244041108211662E-5	3.1417574	100000000	705	78543935
6	5.9494158159911955E-5	3.14177956	100000000	606	78544489
7-------------------
7	8.049852978361005E-5	3.14133976	100000000	527	78533494
7	1.2583858997172436E-4	3.14119732	100000000	535	78529933
7	8.544278008166808E-5	3.14186108	100000000	525	78546527
7	4.254733981957212E-5	3.14172632	100000000	521	78543158
7	3.051114525732613E-5	3.1414968	100000000	524	78537420
7	1.4608383343543659E-5	3.14154676	100000000	522	78538669
7	4.121908982863766E-5	3.14146316	100000000	532	78536579
7	3.7322976821678435E-5	3.1414754	100000000	525	78536885
7	3.783227263958714E-5	3.1414738	100000000	522	78536845
7	3.99881283346586E-5	3.14171828	100000000	523	78542957
8-------------------
8	5.794080591544588E-5	3.14177468	100000000	487	78544367
8	9.290322911066304E-6	3.14162184	100000000	466	78540546
8	9.716523542425559E-5	3.1412874	100000000	477	78532185
8	9.43037926098413E-6	3.14162228	100000000	465	78540557
8	2.7765028705132268E-5	3.14167988	100000000	477	78541997
8	2.618547696631829E-6	3.14160088	100000000	467	78540022
8	3.0180102975727875E-5	3.14149784	100000000	476	78537446
8	1.3110041545240272E-5	3.14163384	100000000	478	78540846
8	2.3406468597768203E-5	3.14151912	100000000	471	78537978
8	2.2833510802585562E-5	3.14152092	100000000	474	78538023
9-------------------
9	9.400833605702746E-6	3.14156312	100000000	425	78539078
9	4.109584673848989E-5	3.14172176	100000000	424	78543044
9	5.4167935998493066E-5	3.14142248	100000000	427	78535562
9	5.694767907050976E-5	3.14177156	100000000	423	78544289
9	5.594181983020367E-5	3.1417684	100000000	431	78544210
9	1.0826861895762319E-5	3.14155864	100000000	429	78538966
9	1.455745376178106E-5	3.14154692	100000000	425	78538673
9	2.0592609203900324E-5	3.14152796	100000000	422	78538199
9	5.915903501391361E-5	3.1414068	100000000	425	78535170
9	8.12759406093097E-6	3.14156712	100000000	426	78539178
10-------------------
10	1.089808983993984E-4	3.14125028	100000000	398	78531257
10	1.0618492908082009E-7	3.14159232	100000000	384	78539808
10	7.085145489905002E-5	3.14181524	100000000	386	78545381
10	2.515080677405606E-5	3.14151364	100000000	380	78537841
10	3.881674795341202E-5	3.1417146	100000000	400	78542865
10	1.1712097995468516E-4	3.1419606	100000000	390	78549015
10	4.3536385799966794E-5	3.14145588	100000000	384	78536397
10	4.667728661018184E-7	3.14159412	100000000	387	78539853
10	1.9013792168411596E-5	3.14153292	100000000	385	78538323
10	8.743768530251021E-5	3.14131796	100000000	395	78532949
11-------------------
11	5.503781975342278E-5	3.14176556	100000000	385	78544139
11	7.949340524620513E-6	3.14156768	100000000	388	78539192
11	1.0630709535544836E-4	3.14125868	100000000	355	78531467
11	3.4381793473404055E-5	3.14148464	100000000	360	78537116
11	6.1072240492075434E-6	3.14161184	100000000	355	78540296
11	6.985759335107137E-6	3.1416146	100000000	368	78540365
11	2.5048947610389504E-5	3.14151396	100000000	361	78537849
11	8.1164695211348E-5	3.14184764	100000000	351	78546191
11	7.024029991747474E-5	3.14181332	100000000	362	78545333
