NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	6.198596141932962E-4	3.14354	1000000	72	785885
1	2.2939116214502317E-4	3.140872	1000000	43	785218
1	0.00109605120392437	3.145036	1000000	38	786259
1	5.642531624103878E-4	3.13982	1000000	37	784955
1	5.905751046643936E-4	3.143448	1000000	36	785862
1	4.403328383857061E-4	3.142976	1000000	35	785744
1	4.0891793795261327E-4	3.140308	1000000	37	785077
1	1.2524351354687663E-5	3.141632	1000000	35	785408
1	3.130088839122039E-4	3.142576	1000000	34	785644
1	7.463264173075215E-4	3.139248	1000000	34	784812
2-------------------
2	3.8940325659624867E-4	3.142816	1000000	19	785704
2	1.4621450355190743E-4	3.142052	1000000	17	785513
2	1.8033397718986805E-5	3.141536	1000000	18	785384
2	2.4399595442562964E-5	3.141516	1000000	18	785379
2	2.0579876808388997E-5	3.141528	1000000	19	785382
2	1.7973481990033748E-4	3.141028	1000000	22	785257
2	7.405593768724863E-5	3.14136	1000000	20	785340
2	3.8176381932790074E-4	3.142792	1000000	19	785698
2	2.0987648078865857E-4	3.142252	1000000	19	785563
2	0.0011461236343542677	3.137992	1000000	19	784498
3-------------------
3	5.999038696628666E-4	3.139708	1000000	13	784927
3	4.5857428019729896E-4	3.140152	1000000	13	785038
3	3.2743060708962274E-4	3.140564	1000000	13	785141
3	4.326934011173582E-4	3.142952	1000000	13	785738
3	2.340680321386155E-4	3.142328	1000000	13	785582
3	2.9076465436296672E-5	3.141684	1000000	12	785421
3	0.0012475667097478292	3.145512	1000000	13	786378
3	5.095038619867564E-4	3.139992	1000000	12	784998
3	2.4425394849650697E-4	3.14236	1000000	12	785590
3	0.001007340523978102	3.138428	1000000	13	784607
4-------------------
4	7.217187777722111E-4	3.14386	1000000	9	785965
4	5.765694696723281E-4	3.143404	1000000	9	785851
4	4.7130667564473396E-4	3.140112	1000000	9	785028
4	1.593629871845545E-4	3.141092	1000000	10	785273
4	1.6403985717814687E-4	3.142108	1000000	9	785527
4	8.210314622615825E-4	3.144172	1000000	9	786043
4	4.445686452052335E-4	3.140196	1000000	10	785049
4	5.167272110697509E-4	3.143216	1000000	10	785804
4	7.679714895679348E-4	3.13918	1000000	10	784795
4	3.7030466342523745E-4	3.142756	1000000	9	785689
5-------------------
5	4.50934842928951E-4	3.140176	1000000	8	785044
5	4.180886088359036E-5	3.141724	1000000	8	785431
5	4.530652338329998E-4	3.143016	1000000	8	785754
5	2.9432637892654604E-4	3.140668	1000000	8	785167
5	6.695159564379818E-4	3.143696	1000000	9	785924
5	1.4812836373777944E-6	3.141588	1000000	8	785397
5	2.8372437438330117E-4	3.142484	1000000	8	785621
5	3.8813001705161824E-4	3.142812	1000000	8	785703
5	9.385855885624052E-4	3.138644	1000000	9	784661
5	7.548230059352878E-4	3.143964	1000000	8	785991
6-------------------
6	2.2047848533190344E-4	3.1409	1000000	6	785225
6	1.046136867609231E-4	3.141264	1000000	6	785316
6	6.381010560050304E-4	3.139588	1000000	9	784897
6	2.5256746801981346E-5	3.141672	1000000	7	785418
6	0.00115080050434786	3.145208	1000000	7	786302
6	2.75452318214957E-6	3.141584	1000000	6	785396
6	3.5375254934376984E-4	3.142704	1000000	7	785676
