NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	2.2557144351084918E-4	3.140884	1000000	58	785221
1	3.664849447910635E-4	3.142744	1000000	23	785686
1	6.982013086772127E-5	3.141812	1000000	17	785453
1	3.855835379620747E-4	3.142804	1000000	17	785701
1	3.855835379620747E-4	3.142804	1000000	17	785701
1	5.447384810540232E-4	3.143304	1000000	17	785826
1	3.01965816194894E-4	3.140644	1000000	17	785161
1	1.11837035844059E-4	3.141944	1000000	17	785486
1	2.090193294292402E-4	3.140936	1000000	18	785234
1	3.363432839027424E-4	3.140536	1000000	17	785134
2-------------------
2	0.0010463948616796842	3.14488	1000000	9	786220
2	8.255252631515631E-5	3.141852	1000000	9	785463
2	3.9576945431996617E-4	3.142836	1000000	9	785709
2	1.7464186172139174E-4	3.141044	1000000	9	785261
2	1.69548903542446E-4	3.14106	1000000	8	785265
2	0.0012679385424636121	3.145576	1000000	9	786394
2	0.0017610983344613655	3.13606	1000000	9	784015
2	5.247827365235936E-4	3.139944	1000000	9	784986
2	8.273976599851587E-4	3.144192	1000000	9	786048
2	5.387883715156591E-4	3.1399	1000000	9	784975
3-------------------
3	1.1097988448464062E-4	3.141244	1000000	6	785311
3	2.3575735986859932E-4	3.140852	1000000	8	785213
3	1.2456943129135267E-4	3.141984	1000000	5	785496
3	4.967714665393213E-4	3.140032	1000000	6	785008
3	4.942249874499192E-4	3.14004	1000000	7	785010
3	1.52996789460837E-4	3.141112	1000000	6	785278
3	1.5070830444231213E-5	3.14164	1000000	6	785410
3	5.005911851736366E-4	3.14002	1000000	6	785005
3	8.583714972441865E-4	3.138896	1000000	6	784724
3	7.109337041249304E-5	3.141816	1000000	6	785454
4-------------------
4	1.8186521080452764E-4	3.142164	1000000	5	785541
4	1.415376335583151E-4	3.141148	1000000	4	785287
4	5.0721537696710064E-5	3.141752	1000000	5	785438
4	2.905066602922307E-4	3.14068	1000000	4	785170
4	2.3957707850291466E-4	3.14084	1000000	4	785210
4	6.071272187460026E-4	3.1435	1000000	4	785875
4	3.384736748069326E-4	3.142656	1000000	4	785664
4	7.666982500231631E-4	3.139184	1000000	5	784796
4	6.088165464761277E-4	3.13968	1000000	5	784920
4	0.00100692443579289	3.144756	1000000	5	786189
5-------------------
5	5.005911851736366E-4	3.14002	1000000	4	785005
5	3.949123029605478E-4	3.140352	1000000	4	785088
5	7.475996568521518E-4	3.139244	1000000	4	784811
5	3.840523043476978E-5	3.141472	1000000	3	785368
5	2.1369619942283253E-4	3.142264	1000000	4	785566
5	7.023621905307467E-5	3.141372	1000000	4	785343
5	5.553404855971267E-4	3.139848	1000000	4	784962
5	1.2202295220195049E-4	3.141976	1000000	3	785494
