NbProcess	Error	Estimation	Ntot	Time	Total
1-------------------
1	5.874294682856022E-5	3.1417772	100000000	1695	78544430
1	1.3797590899459439E-5	3.141636	100000000	1644	78540900
1	5.7431510097537167E-5	3.14177308	100000000	1661	78544327
1	4.878621358874178E-5	3.14174592	100000000	1660	78543648
1	4.156286450560588E-5	3.14146208	100000000	1656	78536552
1	1.2227425394940593E-5	3.14155424	100000000	1661	78538856
1	8.280382806218768E-6	3.14156664	100000000	1660	78539166
1	6.332252832519716E-5	3.14139372	100000000	1659	78534843
1	3.132601856595179E-5	3.14149424	100000000	1656	78537356
1	5.275537480670464E-6	3.14157608	100000000	1656	78539402
2-------------------
2	2.607162011060701E-5	3.14167456	100000000	836	78541864
2	2.5800158941882598E-5	3.1415116	100000000	834	78537790
2	2.6402662392346623E-5	3.1416756	100000000	844	78541890
2	9.046799541893982E-5	3.14130844	100000000	845	78532711
2	2.6640497041389562E-5	3.14150896	100000000	835	78537724
2	3.560818430067196E-5	3.14170452	100000000	836	78542613
2	7.193370851200001E-5	3.14181864	100000000	829	78545466
2	1.5967264553967155E-4	3.14209428	100000000	838	78552357
2	2.931430008533961E-5	3.14150056	100000000	835	78537514
2	9.608632797294587E-6	3.14162284	100000000	845	78540571
3-------------------
3	8.84730901980977E-5	3.1418706	100000000	560	78546765
3	5.848829891960586E-5	3.1417764	100000000	573	78544410
3	1.3755647464774209E-4	3.1420248	100000000	569	78550620
3	4.3701906940765924E-5	3.14145536	100000000	565	78536384
3	1.0050185773529283E-5	3.14156108	100000000	564	78539027
3	7.558382514097476E-5	3.1413552	100000000	572	78533880
3	2.8575821149357847E-5	3.14150288	100000000	564	78537572
3	5.610734097100279E-5	3.14176892	100000000	581	78544223
3	1.2479453354502564E-4	3.1412006	100000000	562	78530015
3	1.1119706990967944E-5	3.14155772	100000000	567	78538943
4-------------------
4	8.394035741882326E-5	3.14185636	100000000	434	78546409
4	4.985165394192172E-5	3.14143604	100000000	438	78535901
4	2.4008972048232228E-5	3.14166808	100000000	440	78541702
4	3.4818775783068954E-5	3.14170204	100000000	426	78542551
4	8.618125901764985E-5	3.1418634	100000000	431	78546585
4	3.634258237225364E-5	3.14147848	100000000	428	78536962
4	9.454236196206814E-5	3.14129564	100000000	438	78532391
4	1.906880261457428E-5	3.14165256	100000000	433	78541314
4	4.2482943138831585E-6	3.141606	100000000	434	78540150
4	8.382241969885325E-6	3.14156632	100000000	438	78539158
5-------------------
5	7.226475079359826E-5	3.14181968	100000000	347	78545492
5	3.681368100376972E-5	3.141477	100000000	351	78536925
5	3.568049780891577E-5	3.14148056	100000000	350	78537014
5	8.677560073917235E-5	3.14132004	100000000	357	78533001
5	1.7193059619479837E-5	3.14153864	100000000	349	78538466
5	8.301089255130242E-5	3.14185344	100000000	355	78546336
5	6.215522880849203E-5	3.14178792	100000000	347	78544698
5	2.6644577905789647E-5	3.14167636	100000000	347	78541909
5	2.3775708065759086E-5	3.14151796	100000000	363	78537949
5	1.335798864035975E-4	3.141173	100000000	346	78529325
6-------------------
6	3.418215601061239E-5	3.14170004	100000000	298	78542501
6	9.779320366560091E-5	3.14189988	100000000	298	78547497
6	3.709452840693062E-6	3.141581	100000000	298	78539525
6	2.462412789986475E-7	3.14159188	100000000	298	78539797
6	3.94747516523498E-5	3.14146864	100000000	303	78536716
6	7.205695160200642E-5	3.14136628	100000000	297	78534157
6	1.0075650564410583E-5	3.141561	100000000	295	78539025
6	3.734917631574362E-6	3.14158092	100000000	300	78539523
6	1.402269315299105E-5	3.1415486	100000000	296	78538715
6	7.944582182594144E-5	3.14184224	100000000	302	78546056
7-------------------
7	1.6900214524132854E-5	3.14153956	100000000	260	78538489
7	1.1531224509751542E-5	3.14162888	100000000	263	78540722
7	6.689167991481687E-5	3.1418028	100000000	263	78545070
7	2.5193084824848776E-5	3.1416718	100000000	262	78541795
7	3.742891684974507E-5	3.14171024	100000000	261	78542756
7	2.595702855171184E-5	3.1416742	100000000	264	78541855
7	8.730097511394993E-6	3.14162008	100000000	268	78540502
7	2.6631845510419677E-5	3.14167632	100000000	260	78541908
7	4.6927283853417394E-5	3.14174008	100000000	262	78543502
7	1.8775957519368657E-5	3.14165164	100000000	258	78541291
8-------------------
8	2.516353916942603E-5	3.1415136	100000000	231	78537840
8	6.6802553146803E-5	3.14180252	100000000	234	78545063
8	4.932097419753179E-5	3.1417476	100000000	237	78543690
8	3.887706377003518E-6	3.14158044	100000000	238	78539511
8	5.7745739119224006E-5	3.14141124	100000000	231	78535281
8	4.946103054744962E-5	3.14174804	100000000	232	78543701
8	2.0889535163647395E-5	3.14165828	100000000	230	78541457
8	4.074799119698022E-5	3.14146464	100000000	234	78536616
8	8.448376955872451E-5	3.14132724	100000000	232	78533181
8	3.5901029396018945E-5	3.14170544	100000000	229	78542636
